# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 252 2 1 66306 17698385 1 /home/rajkumar/.config/pulse/1f2b4458d6504ec9a3cf81f6ba1aa365-default-sink
DUPTYPE_WITHIN_SAME_TREE -252 7 1 66306 21233894 1 /home/rajkumar/windows_rajkumar/WAAutomation_FrameWork/venv/Lib/site-packages/pip-19.0.3-py3.8.egg/EGG-INFO/not-zip-safe
DUPTYPE_WITHIN_SAME_TREE -252 10 1 66306 21501823 1 /home/rajkumar/Downloads/pycharm-community-2020.3.3/plugins/python-ce/helpers/pydev/pydev_tests_runfiles/samples/nested_dir/nested3/__init__.py
DUPTYPE_WITHIN_SAME_TREE -252 10 1 66306 21501819 1 /home/rajkumar/Downloads/pycharm-community-2020.3.3/plugins/python-ce/helpers/pydev/pydev_tests_runfiles/samples/nested_dir/nested2/__init__.py
DUPTYPE_WITHIN_SAME_TREE -252 8 1 66306 21503074 1 /home/rajkumar/PycharmProjects/pythonProject/linux_tasks/venv/lib/python3.8/site-packages/shutils-0.1.0-py3.8.egg-info/dependency_links.txt
DUPTYPE_WITHIN_SAME_TREE -252 8 1 66306 20580927 1 /home/rajkumar/PycharmProjects/pythonProject/linux_tasks/venv/lib/python3.8/site-packages/pathlib-1.0.1-py3.8.egg-info/dependency_links.txt
DUPTYPE_WITHIN_SAME_TREE -252 5 1 66306 23597179 1 /home/rajkumar/.local/lib/python3.8/site-packages/pytz-2021.1.dist-info/zip-safe
DUPTYPE_WITHIN_SAME_TREE -252 5 1 66306 23596665 1 /home/rajkumar/.local/lib/python3.8/site-packages/pyasn1-0.4.8.dist-info/zip-safe
DUPTYPE_WITHIN_SAME_TREE -252 7 1 66306 21233892 1 /home/rajkumar/windows_rajkumar/WAAutomation_FrameWork/venv/Lib/site-packages/pip-19.0.3-py3.8.egg/EGG-INFO/dependency_links.txt
DUPTYPE_WITHIN_SAME_TREE -252 5 1 66306 23334108 1 /home/rajkumar/.local/lib/python3.8/site-packages/wcwidth-0.2.5.dist-info/zip-safe
DUPTYPE_WITHIN_SAME_TREE -252 10 1 66306 21102753 1 /home/rajkumar/windows_rajkumar/selenium/venv/Lib/site-packages/pip-19.0.3-py3.8.egg/pip/_vendor/chardet/cli/__init__.py
DUPTYPE_WITHIN_SAME_TREE -252 7 1 66306 21102597 1 /home/rajkumar/windows_rajkumar/selenium/venv/Lib/site-packages/pip-19.0.3-py3.8.egg/EGG-INFO/not-zip-safe
DUPTYPE_WITHIN_SAME_TREE -252 5 1 66306 21234959 1 /home/rajkumar/.local/lib/python3.8/site-packages/HTMLTestRunner_Python3-0.8.0.dist-info/zip-safe
DUPTYPE_WITHIN_SAME_TREE -252 7 1 66306 21102595 1 /home/rajkumar/windows_rajkumar/selenium/venv/Lib/site-packages/pip-19.0.3-py3.8.egg/EGG-INFO/dependency_links.txt
DUPTYPE_WITHIN_SAME_TREE -252 9 1 66306 21501817 1 /home/rajkumar/Downloads/pycharm-community-2020.3.3/plugins/python-ce/helpers/pydev/pydev_tests_runfiles/samples/nested_dir/__init__.py
DUPTYPE_WITHIN_SAME_TREE -252 11 1 66306 21502145 1 /home/rajkumar/PycharmProjects/pythonProject/linux_tasks/venv/lib/python3.8/site-packages/pip/_vendor/chardet/cli/__init__.py
DUPTYPE_WITHIN_SAME_TREE -252 5 1 66306 23596762 1 /home/rajkumar/.local/lib/python3.8/site-packages/pyasn1_modules-0.2.8.dist-info/zip-safe
DUPTYPE_WITHIN_SAME_TREE -252 10 1 66306 21234050 1 /home/rajkumar/windows_rajkumar/WAAutomation_FrameWork/venv/Lib/site-packages/pip-19.0.3-py3.8.egg/pip/_vendor/chardet/cli/__init__.py
DUPTYPE_WITHIN_SAME_TREE -252 6 1 66306 23598332 1 /home/rajkumar/.local/lib/python3.8/site-packages/chardet/cli/__init__.py
DUPTYPE_WITHIN_SAME_TREE -252 5 1 66306 18613841 1 /home/rajkumar/.local/lib/python3.8/site-packages/bs4-0.0.1.dist-info/top_level.txt
DUPTYPE_FIRST_OCCURRENCE 32079 6 1 66306 18088987 1 /home/rajkumar/.config/libreoffice/4/user/extensions/bundled/lastsynchronized
DUPTYPE_WITHIN_SAME_TREE -32079 6 1 66306 18088988 1 /home/rajkumar/.config/libreoffice/4/user/extensions/shared/lastsynchronized
DUPTYPE_FIRST_OCCURRENCE 236 2 1 66306 17695825 1 /home/rajkumar/.cache/tracker/parser-version.txt
DUPTYPE_WITHIN_SAME_TREE -236 7 1 66306 19663884 1 /home/rajkumar/.cache/JetBrains/PyCharmCE2020.3/index/fileincludes/.perFileVersion/indexed_versions/indexed_versions.next
DUPTYPE_WITHIN_SAME_TREE -236 7 1 66306 22020582 1 /home/rajkumar/.cache/JetBrains/PyCharmCE2021.1/index/fileincludes/.perFileVersion/indexed_versions/indexed_versions.next
DUPTYPE_FIRST_OCCURRENCE 36422 7 1 66306 19663874 1 /home/rajkumar/.cache/JetBrains/PyCharmCE2020.3/index/stubs/.perFileVersion/indexed_versions/indexed_versions.next
DUPTYPE_WITHIN_SAME_TREE -36422 7 1 66306 22020683 1 /home/rajkumar/.cache/JetBrains/PyCharmCE2021.1/index/stubs/.perFileVersion/indexed_versions/indexed_versions.next
